hotel_data,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
572,San Jose,US,70.72,clear sky,37.3394,-121.895,The Westin San Jose
573,Gunjur,GM,75.27,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
576,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Pousada Camboinha
578,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
579,Plettenberg Bay,ZA,72.05,clear sky,-34.0527,23.3716,Thanda Vista B&B
587,Lianzhou,CN,78.37,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
598,Camacupa,AO,72.23,overcast clouds,-12.0167,17.4833,
600,Mamit,IN,81.43,haze,23.9333,92.4833,R Lalvuani Building
601,Champerico,GT,78.03,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
606,Tshane,BW,78.91,overcast clouds,-24.0196,21.8684,
607,Makasar,ID,84.25,thunderstorm,-5.14,119.4221,Aryaduta Makassar
614,Nicoya,CR,73.29,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
615,Kiunga,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
616,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
617,Mayumba,GA,78.3,overcast clouds,-3.432,10.6554,LIKWALE LODGE
618,Shangrao,CN,73.89,clear sky,28.4532,117.9686,Boyue boutique Hotel
621,Bowen,AU,79.61,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
623,Biltine,TD,85.23,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
625,Ciudad Bolivar,VE,77.23,overcast clouds,8.1222,-63.5497,Hotel Edi
629,Proddatur,IN,89.29,overcast clouds,14.7333,78.55,Sri Swasthik Residency
634,Mitzic,GA,71.8,moderate rain,0.7821,11.549,Motel Emys
635,Kongwa,TZ,78.24,clear sky,-6.2,36.4167,Chipsi Feed
636,Luwuk,ID,85.3,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
637,Wattegama,LK,82.98,overcast clouds,6.7989,81.4808,
640,Yanam,IN,88.38,few clouds,16.7333,82.2167,The Regency Hotel
646,Lahaina,US,80.6,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
649,El Sauzal,MX,72.63,overcast clouds,31.9,-116.6833,Hotel Las Rosas & Spa
650,Rantepao,ID,77.29,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
651,Beruwala,LK,81.48,overcast clouds,6.4788,79.9828,The Palms Hotel
653,Acapulco,MX,76.82,heavy intensity rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
654,Bindura,ZW,77.95,overcast clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
655,Arenapolis,BR,75.33,scattered clouds,-14.4503,-56.8461,Mato Grosso Hotel
658,Parrita,CR,75.87,overcast clouds,9.5201,-84.3225,Beso del Viento
661,Leo,BF,75.29,scattered clouds,11.1,-2.1,Hotel Sissilis
663,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
666,Dondaicha,IN,85.12,broken clouds,21.3333,74.5667,Mahavir Farm House
667,Bongor,TD,81.82,few clouds,10.2806,15.3722,Oryx Palace
668,Dennery,LC,80.76,few clouds,13.8996,-60.8879,The Fox Grove Inn
670,Los Banos,PH,84.69,light rain,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
671,Richards Bay,ZA,75.65,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
672,Parkes,AU,71.35,light rain,-33.1333,148.1833,Station Motel
675,Ondjiva,AO,80.6,scattered clouds,-17.0667,15.7333,COMBUESA
676,Coahuayana,MX,75.65,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
677,Kashan,IR,70.5,clear sky,33.9831,51.4364,Manouchehri Traditional House And Hotel
681,Ilam,NP,73.22,clear sky,26.9167,87.9167,चियाबारी कटेज
